"path","top","ext","bytes","lines","readable","note"
"DOCS/Hosting/Project_hosting_guide_by_ankush.pdf","DOCS",".pdf","273359",,"False","binary-hint"
"DOCS/ML/CODE_EXPLANATION.md","DOCS",".md","7682","230","True",""
"DOCS/ML/README.md","DOCS",".md","11444","264","True",""
"DOCS/ML/TECHNICAL_DOCUMENTATION.md","DOCS",".md","44283","894","True",""
"DOCS/ML/TRAINING_GUIDE.md","DOCS",".md","6666","187","True",""
"DOCS/PPT/Major project ppt reference.pptx","DOCS",".pptx","824709",,"False","binary-hint"
"DOCS/PPT/ppt_content.txt","DOCS",".txt","10238","255","True",""
"DOCS/PRESENTATION/Farm_Connect_External_Evaluation_Presentation.pptx","DOCS",".pptx","2202061",,"False","binary-hint"
"DOCS/PRESENTATION/Farm_Connect_External_Evaluation_Presentation_20260210_010354.pptx","DOCS",".pptx","2202061",,"False","binary-hint"
"DOCS/PRESENTATION/ppt_assets/disease.png","DOCS",".png","424413",,"False","binary-hint"
"DOCS/PRESENTATION/ppt_assets/home.png","DOCS",".png","952235",,"False","binary-hint"
"DOCS/PRESENTATION/ppt_assets/machinery.png","DOCS",".png","580352",,"False","binary-hint"
"DOCS/PRESENTATION/ppt_assets/schemes.png","DOCS",".png","106317",,"False","binary-hint"
"DOCS/PRESENTATION/ppt_assets/weather.png","DOCS",".png","128385",,"False","binary-hint"
"DOCS/PRESENTATION/presentation.html","DOCS",".html","52434","1167","True",""
"DOCS/PROJECT/DOCUMENTATION.md","DOCS",".md","3913","89","True",""
"DOCS/PROJECT/Group 7 Project Synopsis-FINAL.pdf","DOCS",".pdf","1970214",,"False","binary-hint"
"DOCS/PROJECT/ROLES_AND_RESPONSIBILITIES copy.md","DOCS",".md","7991","111","True",""
"DOCS/PROJECT/ROLES_AND_RESPONSIBILITIES.md","DOCS",".md","10081","132","True",""
"DOCS/PROJECT/SYNOPSIS GROUP-7.pdf","DOCS",".pdf","908968",,"False","binary-hint"
"DOCS/PROJECT/SYNOPSIS.md","DOCS",".md","51775","673","True",""
"DOCS/PROJECT/Synopsis WORD FILE.docx","DOCS",".docx","1895549",,"False","binary-hint"
"DOCS/PROJECT/TODO.md","DOCS",".md","6254","155","True",""
"DOCS/README.md","DOCS",".md","5368","96","True",""
"DOCS/SEO/SEO-ANALYSIS-DOCUMENT.md","DOCS",".md","12691","304","True",""
"DOCS/VIDEO/INVESTOR_PITCH_SCRIPT.md","DOCS",".md","2830","59","True",""
"DOCS/VIDEO/NEF_Innovation_Awards_2025_Submission.md","DOCS",".md","1738","37","True",""
"DOCS/VIDEO/NES_VIDEO_RECORDING_GUIDE.md","DOCS",".md","6118","103","True",""
"DOCS/VIDEO/NES_VIDEO_SCRIPT.md","DOCS",".md","3570","75","True",""
"Dockerfile","Dockerfile","","917","31","True",""
"README.md","README.md",".md","16231","434","True",""
"backend/api/ai.js","backend",".js","18312","401","True",""
"backend/api/bookings.js","backend",".js","15952","409","True",""
"backend/api/diseases.js","backend",".js","2599","70","True",""
"backend/api/machinery.js","backend",".js","10737","256","True",""
"backend/api/messages.js","backend",".js","10754","286","True",""
"backend/api/schemes.js","backend",".js","2514","63","True",""
"backend/api/users.js","backend",".js","7200","201","True",""
"backend/api/weather.js","backend",".js","2111","53","True",""
"backend/config/database.js","backend",".js","1263","42","True",""
"backend/index.js","backend",".js","6042","152","True",""
"backend/scripts/seedDemoMachinery.js","backend",".js","13503","293","True",""
"backend/scripts/seedDemoUsers.js","backend",".js","3435","82","True",""
"backend/scripts/test-auth.js","backend",".js","1297","37","True",""
"backend/tests/key-test.html","backend",".html","13977","346","True",""
"backend/tests/test-apis.js","backend",".js","7029","206","True",""
"backend/tests/test-populate-data.js","backend",".js","13471","365","True",""
"docker-compose.yml","docker-compose.yml",".yml","575","23","True",""
"frontend/components.json","frontend",".json","432","20","True",""
"frontend/eslint.config.js","frontend",".js","818","28","True",""
"frontend/index.html","frontend",".html","7784","169","True",""
"frontend/postcss.config.js","frontend",".js","86","6","True",""
"frontend/public/android-chrome-192x192.png","frontend",".png","4241",,"False","binary-hint"
"frontend/public/android-chrome-512x512.png","frontend",".png","9534",,"False","binary-hint"
"frontend/public/apple-touch-icon.png","frontend",".png","3913",,"False","binary-hint"
"frontend/public/assets/claas-harvester.jpg","frontend",".jpg","88812",,"False","binary-hint"
"frontend/public/assets/john-deere-tractor.jpg","frontend",".jpg","68620",,"False","binary-hint"
"frontend/public/assets/mahindra-tractor.jpg","frontend",".jpg","82407",,"False","binary-hint"
"frontend/public/assets/rotavator.jpg","frontend",".jpg","112137",,"False","binary-hint"
"frontend/public/assets/seed-drill.jpg","frontend",".jpg","91610",,"False","binary-hint"
"frontend/public/assets/spray-drone.jpg","frontend",".jpg","45821",,"False","binary-hint"
"frontend/public/assets/team/Aditya.jpeg","frontend",".jpeg","137675",,"False","binary-hint"
"frontend/public/assets/team/marshal.png","frontend",".png","253272",,"False","binary-hint"
"frontend/public/assets/team/mrunali.jpeg","frontend",".jpeg","28865",,"False","binary-hint"
"frontend/public/assets/team/vaishnavi.png","frontend",".png","214787",,"False","binary-hint"
"frontend/public/backup logo/favicon 1.png","frontend",".png","262672",,"False","binary-hint"
"frontend/public/backup logo/favicon.png","frontend",".png","53571",,"False","binary-hint"
"frontend/public/backup logo/favicon2.png","frontend",".png","553145",,"False","binary-hint"
"frontend/public/demo-images/bullock-cart.png","frontend",".png","937381",,"False","binary-hint"
"frontend/public/demo-images/harvester.png","frontend",".png","848806",,"False","binary-hint"
"frontend/public/demo-images/tractor.png","frontend",".png","925546",,"False","binary-hint"
"frontend/public/farmconnect-icon-v2.png","frontend",".png","4241",,"False","binary-hint"
"frontend/public/favicon files/android-chrome-192x192.png","frontend",".png","47747",,"False","binary-hint"
"frontend/public/favicon files/android-chrome-512x512.png","frontend",".png","230920",,"False","binary-hint"
"frontend/public/favicon files/apple-touch-icon.png","frontend",".png","42843",,"False","binary-hint"
"frontend/public/favicon files/farmconnect-icon-v2.png","frontend",".png","47747",,"False","binary-hint"
"frontend/public/favicon files/favicon-16x16.png","frontend",".png","859",,"False","binary-hint"
"frontend/public/favicon files/favicon-32x32.png","frontend",".png","2414",,"False","binary-hint"
"frontend/public/favicon files/favicon-48x48.png","frontend",".png","383335",,"False","binary-hint"
"frontend/public/favicon files/favicon.ico","frontend",".ico","15406",,"False","binary-hint"
"frontend/public/favicon files/site.webmanifest","frontend",".webmanifest","263","1","True",""
"frontend/public/favicon-16x16.png","frontend",".png","859",,"False","binary-hint"
"frontend/public/favicon-32x32.png","frontend",".png","2414",,"False","binary-hint"
"frontend/public/favicon-48x48.png","frontend",".png","9992",,"False","binary-hint"
"frontend/public/favicon.ico","frontend",".ico","15406",,"False","binary-hint"
"frontend/public/google8f43ddcd6bd4b600.html","frontend",".html","53","1","True",""
"frontend/public/health.html","frontend",".html","24228","634","True",""
"frontend/public/manifest.json","frontend",".json","1049","43","True",""
"frontend/public/models/plant-disease/group1-shard1of3.bin","frontend",".bin","4194304",,"False","binary-hint"
"frontend/public/models/plant-disease/group1-shard2of3.bin","frontend",".bin","4194304",,"False","binary-hint"
"frontend/public/models/plant-disease/group1-shard3of3.bin","frontend",".bin","1818144",,"False","binary-hint"
"frontend/public/models/plant-disease/labels.json","frontend",".json","4316","192","True",""
"frontend/public/models/plant-disease/model.json","frontend",".json","128035","1","True",""
"frontend/public/placeholder.svg","frontend",".svg","3253","1","True",""
"frontend/public/robots.txt","frontend",".txt","158","6","True",""
"frontend/public/screenshot-desktop.png","frontend",".png","91435",,"False","binary-hint"
"frontend/public/screenshot-mobile.png","frontend",".png","40332",,"False","binary-hint"
"frontend/public/sitemap.xml","frontend",".xml","1148","39","True",""
"frontend/public/sw.js","frontend",".js","2804","87","True",""
"frontend/src/App.css","frontend",".css","648","37","True",""
"frontend/src/App.tsx","frontend",".tsx","3464","78","True",""
"frontend/src/assets/hero-farm.jpg","frontend",".jpg","163476",,"False","binary-hint"
"frontend/src/assets/machinery.jpg","frontend",".jpg","130061",,"False","binary-hint"
"frontend/src/assets/weather-dashboard.jpg","frontend",".jpg","131556",,"False","binary-hint"
"frontend/src/components/AIAnalyticsDashboard.tsx","frontend",".tsx","15543","369","True",""
"frontend/src/components/AdvancedFilters.tsx","frontend",".tsx","11923","237","True",""
"frontend/src/components/IndianFarmerWeatherDashboard.tsx","frontend",".tsx","41668","871","True",""
"frontend/src/components/Layout.tsx","frontend",".tsx","8054","177","True",""
"frontend/src/components/LoginModal.tsx","frontend",".tsx","20041","519","True",""
"frontend/src/components/NotificationSystem.tsx","frontend",".tsx","9363","197","True",""
"frontend/src/components/OfflineIndicator.tsx","frontend",".tsx","531","15","True",""
"frontend/src/components/PWAInstallPrompt.tsx","frontend",".tsx","3019","84","True",""
"frontend/src/components/PaymentGateway.tsx","frontend",".tsx","11662","252","True",""
"frontend/src/components/SEO.tsx","frontend",".tsx","1548","40","True",""
"frontend/src/components/SmartWeatherDashboard.tsx","frontend",".tsx","21025","556","True",""
"frontend/src/components/UserProfile_WITH_DASHBOARD.tsx","frontend",".tsx","54852","841","True",""
"frontend/src/components/VoiceInterface.tsx","frontend",".tsx","15575","351","True",""
"frontend/src/components/homepage/AIInsights.tsx","frontend",".tsx","12028","315","True",""
"frontend/src/components/homepage/HeroSection.tsx","frontend",".tsx","5047","102","True",""
"frontend/src/components/homepage/MachineryRental.tsx","frontend",".tsx","9031","233","True",""
"frontend/src/components/homepage/QuickActions.tsx","frontend",".tsx","6023","161","True",""
"frontend/src/components/ui/accordion.tsx","frontend",".tsx","2033","49","True",""
"frontend/src/components/ui/alert-dialog.tsx","frontend",".tsx","4559","126","True",""
"frontend/src/components/ui/alert.tsx","frontend",".tsx","1643","53","True",""
"frontend/src/components/ui/aspect-ratio.tsx","frontend",".tsx","145","3","True",""
"frontend/src/components/ui/avatar.tsx","frontend",".tsx","1453","43","True",""
"frontend/src/components/ui/badge.tsx","frontend",".tsx","1164","31","True",""
"frontend/src/components/ui/breadcrumb.tsx","frontend",".tsx","2816","105","True",""
"frontend/src/components/ui/button.tsx","frontend",".tsx","2518","55","True",""
"frontend/src/components/ui/calendar.tsx","frontend",".tsx","2695","65","True",""
"frontend/src/components/ui/card.tsx","frontend",".tsx","1956","71","True",""
"frontend/src/components/ui/carousel.tsx","frontend",".tsx","6470","231","True",""
"frontend/src/components/ui/chart.tsx","frontend",".tsx","10829","328","True",""
"frontend/src/components/ui/checkbox.tsx","frontend",".tsx","1084","25","True",""
"frontend/src/components/ui/collapsible.tsx","frontend",".tsx","324","5","True",""
"frontend/src/components/ui/command.tsx","frontend",".tsx","5032","136","True",""
"frontend/src/components/ui/context-menu.tsx","frontend",".tsx","7444","181","True",""
"frontend/src/components/ui/dialog.tsx","frontend",".tsx","3955","108","True",""
"frontend/src/components/ui/drawer.tsx","frontend",".tsx","3123","104","True",""
"frontend/src/components/ui/dropdown-menu.tsx","frontend",".tsx","7493","181","True",""
"frontend/src/components/ui/form.tsx","frontend",".tsx","4261","152","True",""
"frontend/src/components/ui/hover-card.tsx","frontend",".tsx","1211","22","True",""
"frontend/src/components/ui/input-otp.tsx","frontend",".tsx","2223","62","True",""
"frontend/src/components/ui/input.tsx","frontend",".tsx","813","19","True",""
"frontend/src/components/ui/label.tsx","frontend",".tsx","734","20","True",""
"frontend/src/components/ui/menubar.tsx","frontend",".tsx","8208","216","True",""
"frontend/src/components/ui/navigation-menu.tsx","frontend",".tsx","5174","117","True",""
"frontend/src/components/ui/pagination.tsx","frontend",".tsx","2868","107","True",""
"frontend/src/components/ui/popover.tsx","frontend",".tsx","1259","24","True",""
"frontend/src/components/ui/progress.tsx","frontend",".tsx","803","23","True",""
"frontend/src/components/ui/radio-group.tsx","frontend",".tsx","1509","38","True",""
"frontend/src/components/ui/resizable.tsx","frontend",".tsx","1752","38","True",""
"frontend/src/components/ui/scroll-area.tsx","frontend",".tsx","1688","42","True",""
"frontend/src/components/ui/select.tsx","frontend",".tsx","5773","145","True",""
"frontend/src/components/ui/separator.tsx","frontend",".tsx","785","26","True",""
"frontend/src/components/ui/sheet.tsx","frontend",".tsx","4381","116","True",""
"frontend/src/components/ui/sidebar.tsx","frontend",".tsx","24128","708","True",""
"frontend/src/components/ui/skeleton.tsx","frontend",".tsx","276","13","True",""
"frontend/src/components/ui/slider.tsx","frontend",".tsx","1103","23","True",""
"frontend/src/components/ui/sonner.tsx","frontend",".tsx","923","25","True",""
"frontend/src/components/ui/switch.tsx","frontend",".tsx","1166","24","True",""
"frontend/src/components/ui/table.tsx","frontend",".tsx","2882","107","True",""
"frontend/src/components/ui/tabs.tsx","frontend",".tsx","1936","47","True",""
"frontend/src/components/ui/textarea.tsx","frontend",".tsx","796","20","True",""
"frontend/src/components/ui/toast.tsx","frontend",".tsx","4972","115","True",""
"frontend/src/components/ui/toaster.tsx","frontend",".tsx","805","31","True",""
"frontend/src/components/ui/toggle-group.tsx","frontend",".tsx","1798","51","True",""
"frontend/src/components/ui/toggle.tsx","frontend",".tsx","1478","38","True",""
"frontend/src/components/ui/tooltip.tsx","frontend",".tsx","1173","22","True",""
"frontend/src/components/ui/use-toast.ts","frontend",".ts","85","2","True",""
"frontend/src/contexts/AuthContext.tsx","frontend",".tsx","4358","138","True",""
"frontend/src/hooks/use-mobile.tsx","frontend",".tsx","584","15","True",""
"frontend/src/hooks/use-toast.ts","frontend",".ts","4086","161","True",""
"frontend/src/hooks/usePWA.ts","frontend",".ts","1014","24","True",""
"frontend/src/index.css","frontend",".css","3465","96","True",""
"frontend/src/lib/ai.ts","frontend",".ts","12218","265","True",""
"frontend/src/lib/api/bookingService.ts","frontend",".ts","6136","165","True",""
"frontend/src/lib/api/machineryService.ts","frontend",".ts","5183","149","True",""
"frontend/src/lib/api/messageService.ts","frontend",".ts","5430","151","True",""
"frontend/src/lib/customModel.ts","frontend",".ts","20648","414","True",""
"frontend/src/lib/detections.ts","frontend",".ts","4504","139","True",""
"frontend/src/lib/gemini.ts","frontend",".ts","6447","156","True",""
"frontend/src/lib/groq.ts","frontend",".ts","3803","85","True",""
"frontend/src/lib/otp.ts","frontend",".ts","4030","116","True",""
"frontend/src/lib/payment/paymentService.ts","frontend",".ts","6601","184","True",""
"frontend/src/lib/schemas/booking.schema.ts","frontend",".ts","2489","90","True",""
"frontend/src/lib/schemas/machinery.schema.ts","frontend",".ts","1667","67","True",""
"frontend/src/lib/schemas/message.schema.ts","frontend",".ts","1938","64","True",""
"frontend/src/lib/utils.ts","frontend",".ts","172","5","True",""
"frontend/src/lib/weather.ts","frontend",".ts","8269","255","True",""
"frontend/src/main.tsx","frontend",".tsx","409","12","True",""
"frontend/src/pages/BookingHistory.tsx","frontend",".tsx","12818","226","True",""
"frontend/src/pages/Credits.tsx","frontend",".tsx","17525","292","True",""
"frontend/src/pages/DiseaseDetection.tsx","frontend",".tsx","27234","618","True",""
"frontend/src/pages/GovernmentSchemes.tsx","frontend",".tsx","17500","413","True",""
"frontend/src/pages/HomePage.tsx","frontend",".tsx","691","18","True",""
"frontend/src/pages/Index.tsx","frontend",".tsx","483","12","True",""
"frontend/src/pages/KisanBazaar.tsx","frontend",".tsx","17348","429","True",""
"frontend/src/pages/MachineryDetail.tsx","frontend",".tsx","22309","425","True",""
"frontend/src/pages/MachineryForm.tsx","frontend",".tsx","27673","525","True",""
"frontend/src/pages/MachineryMarketplace.tsx","frontend",".tsx","12491","279","True",""
"frontend/src/pages/NotFound.tsx","frontend",".tsx","3239","76","True",""
"frontend/src/pages/NotFoundPage.tsx","frontend",".tsx","2538","44","True",""
"frontend/src/pages/OwnerDashboard.tsx","frontend",".tsx","32999","548","True",""
"frontend/src/pages/UserProfile.tsx","frontend",".tsx","81461","1538","True",""
"frontend/src/pages/Weather.tsx","frontend",".tsx","560","14","True",""
"frontend/src/registerSW.ts","frontend",".ts","3020","78","True",""
"frontend/src/utils/pwa.ts","frontend",".ts","571","15","True",""
"frontend/src/vite-env.d.ts","frontend",".ts","39","1","True",""
"frontend/tailwind.config.ts","frontend",".ts","3136","118","True",""
"frontend/tsconfig.app.json","frontend",".json","693","27","True",""
"frontend/tsconfig.json","frontend",".json","413","19","True",""
"frontend/tsconfig.node.json","frontend",".json","503","20","True",""
"frontend/vite.config.ts","frontend",".ts","1178","45","True",""
"ml/PlantDiseaseTraining.ipynb","ml",".ipynb","21288","550","True",""
"ml/README.md","ml",".md","3798","104","True",""
"ml/dataset.py","ml",".py","6720","199","True",""
"ml/export.py","ml",".py","7033","221","True",""
"ml/model.py","ml",".py","6625","183","True",""
"ml/requirements.txt","ml",".txt","372","14","True",""
"ml/train.py","ml",".py","7421","231","True",""
"package-lock.json","package-lock.json",".json","365460","9916","True",""
"package.json","package.json",".json","3592","103","True",""
"scripts/update-domain.js","scripts",".js","2689","65","True",""
"vercel.json","vercel.json",".json","1189","41","True",""
